feature,mean_importance
V26,-0.009116061914887563
V18,-0.007995871474706373
V6,-0.004650914303102871
V19,-0.004140650604967133
V23,-0.0034100003613568132
V9,-0.0031405824929335857
V25,-0.0030461220494615304
V12,-0.0016924371367903035
V4,-0.001552087582997741
V10,-0.0014654768604307033
V27,-0.00027545136165634253
Class,0.0
V22,0.0001525348091588885
V3,0.0005594496713258401
V20,0.0007156073005727404
V5,0.0007693396016114739
Time,0.001145985419610218
V7,0.0017567231858621301
V17,0.0019479961438046533
V15,0.0021146731482752034
V24,0.0024402270070251753
V1,0.0027554034338051815
V8,0.002785356603674316
V16,0.0030828870128799756
V21,0.0031114445323146
V14,0.0031198631073961368
V2,0.004655912243722682
V13,0.004892604755886954
V28,0.005767216631843786
V11,0.011007823077059697
